practice,0,8-9-3,8-9-3,2.2473249435424805
practice,1,6-9-7,6-9-7,1.4919850826263428
forward,0,9-7,9-7,1.3235690593719482
forward,0,6-3,6-3,0.917011022567749
forward,0,5-8-2,5-8-2,1.0012409687042236
forward,0,6-9-4,6-9-4,1.5504310131072998
forward,0,7-2-8-6,7-2-8-6,1.8931069374084473
